timestamp,action,side,price,size,pnl,hold_seconds,exit_type,market
2026-02-13T13:05:23,BUY,down,0.9000,3.3400,0.0000,0.0,,BTC
2026-02-13T13:05:55,SELL,down,0.9200,3.3400,0.0668,31.9,TIMEOUT,BTC
2026-02-13T13:08:38,BUY,up,0.1100,27.2800,0.0000,0.0,,BTC
2026-02-13T13:08:43,SELL,up,0.0800,27.2800,-0.8184,4.8,STOP,BTC
2026-02-13T13:56:54,BUY,down,0.1100,25.0000,0.0000,0.0,,BTC
2026-02-13T13:57:05,SELL,down,0.1700,25.0000,1.5000,11.4,PROFIT,BTC
2026-02-13T13:58:32,BUY,down,0.5200,5.7700,0.0000,0.0,,BTC
2026-02-13T13:58:43,SELL,down,0.6900,5.7700,0.9809,10.4,PROFIT,BTC
2026-02-13T15:40:14,BUY,down,0.4400,6.8200,0.0000,0.0,,BTC
2026-02-13T15:40:38,SELL,down,0.6000,6.8200,1.0912,24.3,PROFIT,BTC
2026-02-13T15:41:13,BUY,down,0.8300,3.5300,0.0000,0.0,,BTC
2026-02-13T15:41:45,SELL,down,0.9300,3.5300,0.3530,31.8,TIMEOUT,BTC
2026-02-13T16:25:22,BUY,up,0.4900,5.8900,0.0000,0.0,,BTC
2026-02-13T16:25:37,SELL,up,0.5900,5.8900,0.5890,15.3,PROFIT,BTC
2026-02-13T16:57:13,BUY,up,0.1000,21.4300,0.0000,0.0,,BTC
2026-02-13T16:57:22,SELL,up,0.1900,21.4300,1.9287,9.0,PROFIT,BTC
2026-02-13T17:17:09,BUY,up,0.4800,6.1300,0.0000,0.0,,BTC
2026-02-13T17:17:41,SELL,up,0.5000,6.1300,0.1226,31.7,TIMEOUT,BTC
2026-02-13T17:49:46,BUY,up,0.2000,13.6400,0.0000,0.0,,BTC
2026-02-13T17:50:03,SELL,up,0.1800,13.6400,-0.2728,16.2,STOP,BTC
2026-02-13T17:53:35,BUY,down,0.8200,3.6200,0.0000,0.0,,BTC
2026-02-13T17:54:04,SELL,down,0.7500,3.6200,-0.2534,28.8,STOP,BTC
2026-02-13T17:56:41,BUY,up,0.2700,9.3800,0.0000,0.0,,BTC
2026-02-13T17:56:45,SELL,up,0.2300,9.3800,-0.3752,4.4,STOP,BTC
2026-02-13T18:20:14,BUY,up,0.5000,5.7700,0.0000,0.0,,BTC
2026-02-13T18:20:45,SELL,up,0.5900,5.7700,0.5193,31.4,TIMEOUT,BTC
2026-02-13T18:21:48,BUY,up,0.7600,3.8000,0.0000,0.0,,BTC
2026-02-13T18:22:01,SELL,up,0.6700,3.8000,-0.3420,12.9,STOP,BTC
2026-02-13T18:33:42,BUY,up,0.7500,3.9500,0.0000,0.0,,BTC
2026-02-13T18:34:14,SELL,up,0.7800,3.9500,0.1185,31.3,TIMEOUT,BTC
2026-02-13T18:56:18,BUY,up,0.1800,16.6700,0.0000,0.0,,BTC
2026-02-13T18:56:26,SELL,up,0.2200,16.6700,0.6668,8.2,PROFIT,BTC
2026-02-13T19:04:58,BUY,up,0.5300,5.6700,0.0000,0.0,,BTC
2026-02-13T19:05:10,SELL,up,0.4700,5.6700,-0.3402,11.1,STOP,BTC
2026-02-13T19:09:33,BUY,up,0.8600,3.4900,0.0000,0.0,,BTC
2026-02-13T19:10:07,SELL,up,0.8400,3.4900,-0.0698,34.3,TIMEOUT,BTC
2026-02-13T19:11:48,BUY,down,0.1400,21.4300,0.0000,0.0,,BTC
2026-02-13T19:11:53,SELL,down,0.1000,21.4300,-0.8572,4.9,STOP,BTC
2026-02-13T19:14:58,BUY,down,0.5100,5.8900,0.0000,0.0,,BTC
2026-02-13T19:15:04,SELL,down,0.9900,5.8900,2.8272,6.6,PROFIT,BTC
2026-02-13T19:19:36,BUY,down,0.6600,4.4200,0.0000,0.0,,BTC
2026-02-13T19:19:51,SELL,down,0.5600,4.4200,-0.4420,15.7,STOP,BTC
