timestamp,action,side,price,size,pnl,hold_seconds,exit_type,market
2026-02-13T10:05:05,BUY,down,0.6200,1.5700,0.0000,0.0,,BTC
2026-02-13T10:05:20,SELL,down,0.5000,1.5700,-0.1884,14.3,STOP,BTC
2026-02-13T10:09:28,BUY,up,0.8000,1.2400,0.0000,0.0,,BTC
2026-02-13T10:09:38,SELL,up,0.6800,1.2400,-0.1488,9.9,STOP,BTC
2026-02-13T10:13:36,BUY,down,0.5400,1.8600,0.0000,0.0,,BTC
2026-02-13T10:13:45,SELL,down,0.7100,1.8600,0.3162,8.6,PROFIT,BTC
2026-02-13T10:20:04,BUY,up,0.6000,1.6700,0.0000,0.0,,BTC
2026-02-13T10:20:18,SELL,up,0.5300,1.6700,-0.1169,14.3,STOP,BTC
2026-02-13T10:44:59,BUY,down,0.5900,1.7000,0.0000,0.0,,BTC
2026-02-13T10:45:07,SELL,down,0.5300,1.7000,-0.1020,7.4,STOP,BTC
2026-02-13T10:46:18,BUY,up,0.6600,1.5000,0.0000,0.0,,BTC
2026-02-13T10:46:51,SELL,up,0.7200,1.5000,0.0900,32.3,TIMEOUT,BTC
2026-02-13T10:48:51,BUY,down,0.1700,5.5600,0.0000,0.0,,BTC
2026-02-13T10:48:56,SELL,down,0.2100,5.5600,0.2224,5.4,PROFIT,BTC
2026-02-13T11:01:46,BUY,down,0.6600,1.4100,0.0000,0.0,,BTC
2026-02-13T11:02:19,SELL,down,0.6800,1.4100,0.0282,32.7,TIMEOUT,BTC
2026-02-13T11:04:50,BUY,down,0.7900,1.2700,0.0000,0.0,,BTC
2026-02-13T11:05:47,SELL,down,0.8300,1.2700,0.0508,57.0,TIMEOUT,BTC
2026-02-13T11:06:10,BUY,up,0.1800,5.2700,0.0000,0.0,,BTC
2026-02-13T11:06:25,SELL,up,0.1500,5.2700,-0.1581,15.7,STOP,BTC
2026-02-13T11:07:13,BUY,up,0.2800,3.4500,0.0000,0.0,,BTC
2026-02-13T11:07:23,SELL,up,0.2400,3.4500,-0.1380,9.9,STOP,BTC
2026-02-13T11:10:16,BUY,up,0.1200,8.3400,0.0000,0.0,,BTC
2026-02-13T11:10:26,SELL,up,0.0900,8.3400,-0.2502,9.9,STOP,BTC
