timestamp,action,side,price,size,pnl,hold_seconds,exit_type,market
2026-02-12T08:56:12,BUY,up,0.7700,1.3000,0.0000,0.0,,BTC
2026-02-12T08:57:36,SELL,up,0.9100,1.3000,0.1820,84.7,PROFIT,BTC
2026-02-12T09:11:09,BUY,down,0.3300,2.7800,0.0000,0.0,,BTC
2026-02-12T09:11:18,SELL,down,0.5100,2.7800,0.5004,8.8,PROFIT,BTC
2026-02-12T09:13:19,BUY,down,0.3500,2.7800,0.0000,0.0,,BTC
2026-02-12T09:13:37,SELL,down,0.5300,2.7800,0.5004,18.0,PROFIT,BTC
2026-02-12T09:14:37,BUY,down,0.7800,1.2000,0.0000,0.0,,BTC
2026-02-12T09:14:46,SELL,down,0.0600,1.2000,-0.8640,9.2,STOP,BTC
2026-02-12T09:38:23,BUY,down,0.4300,2.1800,0.0000,0.0,,BTC
2026-02-12T09:38:28,SELL,down,0.3300,2.1800,-0.2180,5.2,STOP,BTC
2026-02-12T09:40:11,BUY,up,0.9000,1.1200,0.0000,0.0,,BTC
2026-02-12T09:41:44,SELL,up,0.9500,1.1200,0.0560,92.3,TIMEOUT,BTC
2026-02-12T10:05:06,BUY,up,0.4600,2.0900,0.0000,0.0,,BTC
2026-02-12T10:05:17,SELL,up,0.3500,2.0900,-0.2299,10.5,STOP,BTC
2026-02-12T10:06:48,BUY,up,0.3400,2.8600,0.0000,0.0,,BTC
2026-02-12T10:06:57,SELL,up,0.2800,2.8600,-0.1716,8.9,STOP,BTC
2026-02-12T10:09:11,BUY,down,0.8400,1.2000,0.0000,0.0,,BTC
2026-02-12T10:10:13,SELL,down,0.8300,1.2000,-0.0120,62.8,STOP,BTC
2026-02-12T10:11:12,BUY,up,0.6000,1.4500,0.0000,0.0,,BTC
2026-02-12T10:11:25,SELL,up,0.7900,1.4500,0.2755,12.9,STOP,BTC
2026-02-12T10:21:11,BUY,up,0.7000,1.3700,0.0000,0.0,,BTC
2026-02-12T10:22:22,SELL,up,0.8400,1.3700,0.1918,71.3,PROFIT,BTC
2026-02-12T10:33:08,BUY,up,0.5000,1.9700,0.0000,0.0,,BTC
2026-02-12T10:33:57,SELL,up,0.6900,1.9700,0.3743,48.8,PROFIT,BTC
2026-02-12T10:34:29,BUY,up,0.8200,1.2100,0.0000,0.0,,BTC
2026-02-12T10:36:01,SELL,up,0.8800,1.2100,0.0726,92.6,TIMEOUT,BTC
